Order_ID,Customer_Name,City,Category,Product,Price,Quantity,Discount_Percent,Revenue,Profit,Payment_Mode,Rating,Delivery_Days
1001,Kerri White,Bangalore,Books,Python Book,3778,3,7,11334,5788.45,UPI,4.2,9
1002,Debra Lang,Mumbai,Electronics,Keyboard,55802,1,0,55802,31389.85,UPI,3.9,9
1003,Andrew Jenkins,Delhi,Beauty,Perfume,59378,5,8,296890,82009.28,Card,4.2,6
1004,Douglas Fleming,Delhi,Home,Table,28721,3,3,86163,48501.3,Cash,4.6,10
1005,Erin Garza,Bhopal,Home,Chair,96147,4,17,384588,211550.14,UPI,3.9,10
1006,Roberto Fitzpatrick,Hyderabad,Home,Curtains,25703,1,1,25703,8623.22,Cash,5.0,4
1007,Brandy Jones,Mumbai,Electronics,Headphones,36934,4,20,147736,39350.34,Cash,3.4,5
1008,Tammy Curry,Mumbai,Books,Python Book,80340,2,17,160680,49545.56,Net Banking,3.4,9
1009,Kenneth Sanchez,Pune,Fashion,Jacket,7831,2,26,15662,9196.1,Net Banking,3.2,4
1010,Alejandro Gentry,Bangalore,Sports,Gym Gloves,28369,4,12,113476,27929.48,Net Banking,2.9,3
1011,Kristie Garcia,Indore,Fashion,Watch,71144,3,23,213432,78151.46,Net Banking,3.4,3
1012,Stephen Knight,Bangalore,Sports,Treadmill,12415,1,27,12415,6904.48,Card,4.5,7
1013,Kristina Hicks,Indore,Sports,Football,50932,4,19,203728,41061.67,Cash,4.9,1
1014,Tiffany Scott,Bangalore,Books,Python Book,89853,5,24,449265,221608.91,Cash,2.8,7
1015,Nicholas Gaines,Indore,Fashion,Jeans,925,3,16,2775,819.22,UPI,4.7,5
1016,Kayla Cooper,Hyderabad,Books,SQL Book,20532,3,24,61596,32977.29,UPI,4.0,8
1017,Michael Le,Indore,Electronics,Laptop,48076,3,7,144228,83195.03,UPI,2.7,8
1018,Gabriel Grant,Indore,Electronics,Keyboard,16983,2,21,33966,13922.22,Card,3.2,10
1019,Sharon Clements,Bangalore,Beauty,Perfume,71186,2,22,142372,67671.33,Cash,3.6,9
1020,Tiffany Galvan,Indore,Beauty,Cosmetics,32993,2,2,65986,30668.03,Card,4.0,1
1021,Deanna Case,Pune,Electronics,Laptop,30507,1,28,30507,17920.87,UPI,3.8,5
1022,Regina Miller,Indore,Books,Maths Book,28580,5,4,142900,44393.17,Net Banking,3.1,8
1023,Justin Pierce,Bhopal,Beauty,Perfume,12863,1,21,12863,5499.96,Net Banking,3.7,1
1024,Courtney Houston MD,Hyderabad,Books,Python Book,8444,4,23,33776,15681.49,UPI,3.1,4
1025,Stephen Ferguson,Mumbai,Sports,Treadmill,18873,4,5,75492,36884.03,UPI,3.6,9
1026,Julia Smith,Delhi,Electronics,Laptop,85977,5,26,429885,255393.33,Card,2.9,8
1027,Frank Mueller,Bhopal,Beauty,Perfume,53065,1,5,53065,23794.92,Cash,4.8,8
1028,Ralph Weber,Mumbai,Home,Lamp,91803,5,21,459015,143504.93,Card,3.2,1
1029,Elizabeth Hanson,Bhopal,Sports,Football,98538,3,1,295614,171439.29,Card,2.6,9
1030,Justin Hunter,Mumbai,Electronics,Mobile,9481,5,2,47405,15639.62,Net Banking,2.8,10
1031,Jennifer Sanchez,Bangalore,Fashion,Watch,78424,1,19,78424,44482.61,Cash,4.8,4
1032,Michael Garcia,Bangalore,Books,AI Book,31785,3,12,95355,52221.04,Cash,3.6,2
1033,Misty Baker,Mumbai,Electronics,Headphones,81916,5,3,409580,233745.55,Cash,2.8,6
1034,Steven Holmes,Indore,Electronics,Mobile,48934,3,5,146802,62350.65,Cash,4.0,9
1035,Kyle Walton,Pune,Electronics,Keyboard,39740,1,30,39740,9885.29,UPI,4.7,9
1036,Dr. Tanya Rivera DDS,Mumbai,Fashion,Jacket,37430,5,6,187150,58569.55,Cash,3.8,5
1037,Kurt Ortega,Delhi,Electronics,Laptop,83636,4,26,334544,163701.72,Cash,4.4,5
1038,Kathryn Baker,Delhi,Fashion,Jeans,72809,4,17,291236,173615.13,Card,3.9,6
1039,Diana French,Hyderabad,Sports,Cricket Bat,56833,2,1,113666,54184.2,UPI,4.7,4
1040,Shawn Gonzales,Hyderabad,Books,SQL Book,87916,1,11,87916,25315.72,Net Banking,4.9,3
1041,Chris Robinson,Pune,Fashion,T-Shirt,23706,4,0,94824,50091.32,Net Banking,4.5,4
1042,Brianna Reyes,Hyderabad,Home,Table,92417,1,12,92417,23208.98,Net Banking,3.1,8
1043,Albert Hicks,Bhopal,Home,Sofa,30331,2,0,60662,20381.63,Cash,3.2,2
1044,Joseph Coleman,Hyderabad,Home,Sofa,84580,5,12,422900,138792.72,Cash,4.8,2
1045,Christine Brown,Bhopal,Home,Table,76599,3,1,229797,127913.97,Cash,4.3,6
1046,Wendy Martin,Bangalore,Beauty,Cosmetics,50988,5,6,254940,126988.42,Net Banking,2.5,9
1047,Brian Baker,Pune,Books,SQL Book,48239,4,2,192956,42537.19,Cash,4.2,2
1048,Kimberly Reyes,Bhopal,Books,AI Book,66969,3,21,200907,87724.6,Cash,3.9,4
1049,Tammy Graham,Bhopal,Beauty,Lipstick,89277,2,19,178554,66485.99,UPI,3.3,4
1050,Chad Rodriguez,Indore,Beauty,Face Wash,61446,4,14,245784,81047.05,Net Banking,4.5,3
1051,Christina Stanley,Pune,Books,Python Book,37696,5,21,188480,65369.32,UPI,4.5,4
1052,Carolyn Taylor,Mumbai,Books,AI Book,29944,2,4,59888,35347.68,Net Banking,4.0,2
1053,Brian Lopez,Bhopal,Beauty,Lipstick,83044,5,6,415220,129823.36,Net Banking,3.5,3
1054,Beverly Lane,Mumbai,Books,Python Book,98930,1,24,98930,42534.11,Net Banking,2.6,4
1055,Heather Reynolds,Indore,Electronics,Headphones,17977,4,21,71908,27867.75,Cash,4.9,8
1056,Lee Watkins,Hyderabad,Sports,Treadmill,72310,4,28,289240,155130.07,Net Banking,3.6,4
1057,Steven Reeves,Bhopal,Books,AI Book,68827,4,20,275308,138838.28,UPI,4.3,4
1058,Mikayla Cochran,Mumbai,Home,Sofa,42404,5,2,212020,115476.77,Net Banking,4.2,4
1059,Laura Chang,Delhi,Electronics,Headphones,53924,3,17,161772,66913.8,Card,4.6,7
1060,Jeffrey Wall,Pune,Sports,Football,75956,4,15,303824,181577.85,Cash,4.4,7
1061,Peter Brown,Delhi,Sports,Cricket Bat,64493,2,8,128986,54904.9,Net Banking,3.3,7
1062,Matthew Rodriguez,Bhopal,Books,SQL Book,61761,2,19,123522,47722.79,UPI,2.7,7
1063,Sheri Schroeder,Mumbai,Fashion,Jeans,24319,1,8,24319,10903.63,Net Banking,3.3,7
1064,Theresa Hoffman,Indore,Home,Lamp,33565,1,15,33565,19878.76,UPI,5.0,6
1065,Chad Gray,Mumbai,Fashion,Shoes,85926,1,24,85926,50489.09,Card,4.6,10
1066,Stacey Henderson,Mumbai,Fashion,T-Shirt,17044,4,21,68176,37786.15,Net Banking,4.2,6
1067,Edward Stewart,Pune,Fashion,Watch,80093,1,24,80093,21807.68,UPI,3.9,5
1068,Lawrence Nguyen,Hyderabad,Sports,Treadmill,52490,2,2,104980,38124.63,Card,2.8,5
1069,Lisa Reeves,Bangalore,Books,Python Book,74677,1,11,74677,28892.67,Cash,2.7,6
1070,Travis Everett,Bangalore,Electronics,Headphones,64751,1,13,64751,13965.82,Net Banking,4.3,7
1071,Christina Stevens,Indore,Fashion,Watch,85756,3,19,257268,71191.28,Net Banking,3.7,10
1072,Jesse Jones,Mumbai,Home,Sofa,32677,1,8,32677,8082.58,Net Banking,3.9,7
1073,Brian Warren,Pune,Home,Chair,65289,3,5,195867,79322.22,Cash,3.4,10
1074,Joel Leonard,Delhi,Books,AI Book,73348,1,16,73348,16193.4,Card,4.3,8
1075,James King,Bhopal,Sports,Cricket Bat,91019,4,20,364076,114779.71,UPI,2.7,4
1076,Jeremy Ellis,Indore,Beauty,Perfume,40635,5,11,203175,83443.12,Cash,3.6,9
1077,Kelly Harmon,Mumbai,Home,Sofa,92624,4,8,370496,176856.56,UPI,4.3,6
1078,Gina French,Bhopal,Electronics,Keyboard,90961,2,6,181922,93407.15,Cash,4.3,9
1079,Kelly Santiago,Mumbai,Sports,Gym Gloves,13676,2,9,27352,13922.35,Cash,2.5,9
1080,Martin Foster,Mumbai,Fashion,Jacket,6465,1,17,6465,3123.53,Net Banking,2.8,1
1081,Holly Stewart,Delhi,Sports,Gym Gloves,62024,4,14,248096,115046.49,Cash,4.9,8
1082,Bryan Wilson,Bangalore,Electronics,Laptop,53021,4,2,212084,78299.62,UPI,2.9,10
1083,Cynthia Garcia,Indore,Home,Chair,33030,1,17,33030,9718.17,Card,4.4,7
1084,Yvonne Branch,Indore,Beauty,Lipstick,39474,5,13,197370,94312.84,UPI,4.0,2
1085,Nicole Heath MD,Indore,Fashion,T-Shirt,35187,1,5,35187,17736.15,UPI,2.9,7
1086,Sheri Hansen,Pune,Beauty,Lipstick,38675,1,7,38675,18748.02,Net Banking,2.7,4
1087,Monica Johnson,Mumbai,Home,Curtains,87162,2,13,174324,96591.09,Card,4.8,3
1088,Wanda Hodges,Indore,Electronics,Laptop,22247,3,19,66741,20050.13,Cash,3.6,8
1089,Tanner Cox,Indore,Books,AI Book,92215,4,30,368860,181147.71,Net Banking,3.6,10
1090,Samantha Collins,Delhi,Electronics,Headphones,96776,3,19,290328,145121.28,Card,4.9,10
1091,Chloe Alvarez,Hyderabad,Sports,Football,88617,3,18,265851,155232.35,Card,3.7,8
1092,Andrea Carter,Delhi,Home,Table,77220,4,20,308880,84726.41,Net Banking,3.4,6
1093,Daniel Mccormick,Pune,Home,Chair,21579,3,13,64737,20879.66,Net Banking,4.5,9
1094,Caroline Willis,Hyderabad,Electronics,Headphones,12042,3,8,36126,17004.16,Net Banking,4.7,1
1095,Alexis Colon,Indore,Books,Maths Book,54665,1,6,54665,21462.8,Net Banking,4.1,1
1096,Katie Gregory,Bangalore,Fashion,Jacket,72487,2,29,144974,70281.71,Net Banking,2.8,10
1097,Rebecca Harris,Delhi,Fashion,T-Shirt,41230,5,0,206150,78151.35,Card,5.0,2
1098,Matthew Byrd,Pune,Beauty,Cosmetics,85396,2,15,170792,38759.33,Cash,3.5,8
1099,Daniel Pierce,Indore,Beauty,Perfume,60371,5,4,301855,134798.06,Card,4.7,5
1100,Ronald Alexander,Bangalore,Beauty,Face Wash,67050,3,26,201150,120483.6,Cash,4.6,10
1101,Marie Maxwell,Pune,Books,Maths Book,19976,4,17,79904,32462.07,Net Banking,3.6,6
1102,Sally Gonzales,Bhopal,Fashion,T-Shirt,75446,4,7,301784,77737.99,UPI,3.3,8
1103,Rebecca Singh,Mumbai,Books,Maths Book,51104,2,15,102208,21879.69,Cash,4.7,8
1104,Donna Lynch,Hyderabad,Electronics,Keyboard,60390,1,23,60390,32751.78,Card,2.7,5
1105,Caitlin Horn,Pune,Home,Curtains,91294,4,20,365176,207373.91,Net Banking,4.9,8
1106,Jennifer Phillips,Pune,Sports,Football,81431,1,7,81431,28300.17,Card,4.4,7
1107,Adam Flowers,Delhi,Electronics,Laptop,58653,2,22,117306,56331.93,UPI,3.3,1
1108,Victoria Ellis,Bhopal,Home,Sofa,49631,4,4,198524,99722.78,Card,2.9,2
1109,Bradley Ramsey,Mumbai,Sports,Treadmill,81726,2,15,163452,38389.71,Card,3.7,5
1110,Carlos Rivera,Pune,Beauty,Face Wash,87904,1,28,87904,24450.21,Card,2.7,6
1111,Matthew Lopez,Hyderabad,Sports,Gym Gloves,84246,4,22,336984,168478.76,Cash,3.0,7
1112,Heather Taylor,Pune,Beauty,Cosmetics,31591,4,18,126364,57674.59,Cash,2.6,7
1113,Rebecca Kelley,Bhopal,Home,Chair,74677,1,29,74677,26692.35,Cash,4.4,4
1114,Angela Henry,Hyderabad,Sports,Gym Gloves,29205,2,19,58410,29190.36,Card,4.1,1
1115,Patrick Cruz,Delhi,Home,Lamp,4873,5,11,24365,7481.42,Cash,3.3,7
1116,Amanda Collins,Indore,Fashion,T-Shirt,17822,5,28,89110,18838.23,Cash,4.6,5
1117,Margaret Sheppard,Delhi,Beauty,Face Wash,98353,3,25,295059,163442.66,Card,4.4,4
1118,Samantha Tate,Delhi,Books,Maths Book,73548,3,2,220644,62602.71,Cash,3.8,8
1119,Laura Murphy,Pune,Home,Sofa,77119,4,26,308476,106294.75,UPI,4.2,8
1120,Andrew Jones,Bangalore,Electronics,Keyboard,74084,3,29,222252,79114.4,UPI,4.1,8
1121,Anna Brown,Delhi,Books,AI Book,85597,4,3,342388,186289.61,Cash,5.0,2
1122,Linda Mccoy,Bangalore,Electronics,Mobile,70957,2,12,141914,59397.04,Net Banking,4.0,3
1123,Crystal Johnson,Pune,Beauty,Cosmetics,64639,5,13,323195,72518.1,UPI,4.2,4
1124,Angel Mcbride,Pune,Beauty,Lipstick,31447,3,3,94341,19587.92,Cash,2.7,5
1125,Kevin Perez,Bangalore,Fashion,Shoes,60100,1,21,60100,30960.98,UPI,2.6,6
1126,Michael Evans,Indore,Fashion,T-Shirt,74500,2,2,149000,39942.86,Card,4.0,4
1127,Anthony Vega,Mumbai,Home,Table,78616,1,8,78616,20175.82,Card,3.9,3
1128,Theresa Figueroa,Mumbai,Electronics,Laptop,17775,1,11,17775,5048.21,Cash,2.5,5
1129,Maureen Wu,Delhi,Electronics,Mobile,97718,4,16,390872,216754.27,Net Banking,3.6,6
1130,Pamela Perez,Delhi,Sports,Football,59745,5,7,298725,66267.28,Cash,3.6,1
1131,Willie Davis,Bangalore,Electronics,Headphones,53140,4,21,212560,118356.65,Net Banking,2.7,2
1132,Thomas Blankenship,Bangalore,Home,Curtains,19942,1,4,19942,9771.45,Cash,3.5,10
1133,Timothy Bishop,Hyderabad,Sports,Gym Gloves,59969,5,19,299845,128309.75,UPI,4.6,9
1134,Melissa Reynolds,Pune,Books,SQL Book,56870,4,28,227480,115696.91,Net Banking,3.5,2
1135,Sandra Graves,Bangalore,Home,Lamp,41463,3,11,124389,27186.83,Net Banking,2.7,2
1136,Kayla Howard,Delhi,Electronics,Headphones,13156,3,25,39468,21626.64,Cash,4.2,7
1137,Thomas Medina,Pune,Home,Lamp,95010,1,30,95010,46074.93,Cash,2.8,9
1138,Michelle Burns,Pune,Fashion,T-Shirt,86579,4,7,346316,90419.67,Cash,2.8,5
1139,Dawn Rodriguez,Indore,Sports,Cricket Bat,56744,5,24,283720,77350.37,UPI,4.0,5
1140,James Anderson,Delhi,Electronics,Mobile,36318,3,29,108954,50562.3,Card,4.7,10
1141,Joshua Barry,Delhi,Books,Maths Book,9620,2,23,19240,6671.11,UPI,4.4,4
1142,Kurt Jacobs,Bangalore,Beauty,Lipstick,59960,3,5,179880,81301.94,Cash,4.4,10
1143,Logan Browning,Delhi,Sports,Football,7395,2,5,14790,4410.76,UPI,3.2,7
1144,Kelsey Cook,Delhi,Beauty,Lipstick,54787,3,6,164361,48983.32,Cash,3.6,5
1145,Jenna Macdonald,Indore,Books,Maths Book,69566,3,1,208698,106810.1,UPI,2.5,5
1146,Lawrence White,Bhopal,Fashion,T-Shirt,33991,3,10,101973,56289.73,Net Banking,2.9,7
1147,Kimberly Thompson DDS,Pune,Sports,Cricket Bat,66070,5,26,330350,109934.11,UPI,3.5,1
1148,Matthew Avila,Bhopal,Beauty,Cosmetics,60760,1,27,60760,28847.37,Net Banking,4.3,7
1149,Lisa Newton,Hyderabad,Home,Chair,53588,1,30,53588,25191.33,Net Banking,4.6,6
1150,Andrew Ortiz,Indore,Electronics,Headphones,14375,2,13,28750,10477.98,UPI,3.5,5
1151,Alan Santana,Indore,Books,AI Book,29541,3,24,88623,47213.63,UPI,3.8,4
1152,David Huang,Pune,Home,Sofa,95839,2,7,191678,107124.65,Card,2.9,3
1153,Michael Glover,Hyderabad,Books,Python Book,23718,4,14,94872,28292.89,Net Banking,4.2,10
1154,Jonathan Carter,Bhopal,Books,AI Book,82710,3,4,248130,105230.66,Net Banking,4.1,5
1155,Nathan Le,Bhopal,Sports,Football,46629,5,2,233145,110938.98,UPI,2.6,5
1156,Jose Reynolds,Indore,Electronics,Laptop,81110,5,16,405550,180959.25,UPI,3.6,10
1157,Christopher Parrish,Delhi,Books,SQL Book,42643,5,15,213215,85169.39,Net Banking,2.8,6
1158,Zachary Walker,Bhopal,Books,Python Book,66632,2,1,133264,66752.27,Net Banking,3.8,10
1159,Wendy White,Pune,Fashion,Jacket,49370,3,12,148110,64648.87,UPI,4.5,6
1160,Connor Hunter,Pune,Electronics,Monitor,12887,5,21,64435,28697.69,Card,3.3,10
1161,Angela King,Bangalore,Books,SQL Book,46351,3,30,139053,46941.25,Net Banking,2.8,2
1162,George Kaufman,Bangalore,Home,Curtains,49872,3,26,149616,82121.6,UPI,4.1,7
1163,Dr. Jasmine Myers,Mumbai,Sports,Gym Gloves,2889,3,9,8667,4575.26,Cash,4.9,8
1164,Vernon Mcdonald,Hyderabad,Fashion,T-Shirt,18530,2,2,37060,17851.18,UPI,3.8,9
1165,Connie Shaffer PhD,Mumbai,Books,Python Book,87260,3,28,261780,76826.4,Net Banking,2.9,3
1166,Rachel Perez,Bangalore,Books,SQL Book,95026,4,1,380104,165594.8,Card,4.9,10
1167,Joseph Hawkins,Hyderabad,Home,Lamp,31171,5,7,155855,74220.15,Net Banking,4.8,4
